PRODUCT_ID,TITLE,BULLET_POINTS,DESCRIPTION,PRODUCT_TYPE_ID,PRODUCT_LENGTH
1170771,MOGU Men's 1 Button Center Vent Wool Blend Blazer Jacket US Size 34(Tag Asian Size XL) Wine Red,"[This is Asians size. Please choose the right size based on your chest measurement from the size options. If your chest is 42"", Our size US L-Chest 42""(Tag Asian Size 5XL) would be a snug fit. Please check the size chart detail image on the left for more specific sizing information,Center Vent and 2 Flap True Pockets,Fully Lined with Inside Pockets,Single Breasted One Button Opening,65% Polyester 25% Viscose Rayon 10% Wool]","Slim Fit 1 Button Wool Blend Blazer Jacket with Cent Back Vent <br> US XS-Chest 31"" fit for body chest 32"" shoulder 15"" bust 34.7"" sleeve length 24"" clothing length 24"" <br> US XS-Chest 33"" fit for body chest 33"", shoulder 15.35"" bust 36"" sleeve length 24.4"" clothing length 25.6"" <br>US S-Chest 34"" fit for body chest 34"", shoulder 16.15"" bust 37.8"" sleeve length 24.8"" clothing length 26.4""<br>US S-Chest 36"" fit for body chest 36"",shoulder 16.9"" bust 39.4"" sleeve length 25.2"" clothing length 27.2""<br> US M-Chest 38"" fit for body chest 38"", shoulder 17.3"" bust 41"" sleeve length 25.6"" clothing length 28""<br> US M Chest 40"" fit for body chest 40"", shoulder 17.7"" bust 42.5"" sleeve length 26.4"" clothing length 28.8""<br> US L-Chest 42"" fit for body chest 42"", shoulder 18.5"" bust 44.5"" sleeve length 26.4"" clothing length 29.9""",2864,1500.0
732582,Die Geschichte des Arabischen als Unterrichtsfach,,,89,590.55
639671,Le secret des peuples sans cancer,,,1,590.55
2368216,Akira Carpets Embossed Carved Handmade Tuffted Pure Woollen Thick Geometrical Carpet for Your Living Room Bedroom Hall Size 10 x 14 feet- (300X420 cm) Multi,"[Pile Height: 1 Inch,Hand Woven with Fine Wool in Master Designed By Well Versed Weaver,Export Quality Carpet(Kaleen) Of Bhadohi Mirzapur,Exquisite Color Combination , Binding on Edge With Canvas Backing,Care instructions: Vacuum Regularly For Cleaning Spot Or Dry Clean. This Rug is Stain And Fade Resistant,Available in Customized Sizes Also . For More Design and Sizes You Can Search (Akira Carpets) Or Contact Seller]","This item is part of the Akira Carpets collection, which is a huge range of wool carpets featuring great designs and quality with an extra soft finish. The rugs are handmade to very high standards of quality and design, and they also feature a variety of construction techniques such as carving, raised pile and the addition of other elements for extra softness and texture. The Akira Carpets range is an all-rounder with something for everyone.For More Carpets, Colors, and Sizes Please Write (Akira Carpets) In Search Box.",1634,16732.2834475
346152,"Outlines & Highlights for Marketing: The Core by Kerin, Hartley, & Rudelius",,,6073,825.0
721757,Just After Sunset,,,104,600.0
1323295,Pem America Remington Wyndham 4 Piece Queen Sheet Set,,,1619,10200.0
914381,Timken 416278 Seal,,416278 - TIMKEN - TimkenÂ¨ SEAL,7374,400.0
393593,Married 2 Moses,,,23,600.0
1249388,"The Goozler Double Deuce Jasper Missouri - Road Swayze - Mens Cotton T-Shirt, S, Charcoal","[TENNESSEE BASED PRINTERS - This amazing tee shirt design was dreamed up by our skilled illustrators and designers here in the beautiful mountains of northeast Tennessee! We are proud of what we do so if you are ever in the area stop by and see us!,STANDARD UNISEX FIT - This shirt is a standard unisex cut, meaning it looks good no matter who you are! It has room where it needs it so you can feel confident in ordering. These are 100% preshrunk, but they might still shrink just a tad in the wash. The shirt shown is a size large.,THE PERFECT WEIGHT - These are made with 5.2oz heavyweight combed cotton, which is nerdspeak for a great t-shirt that is not going to show the world anything you don't want it to see. This is our go-to fabric type and is far and away the most popular product we offer.,STATE OF THE ART EQUIPMENT - Everything we make is produced in our multi-million dollar facilities using equipment from the leaders in the biz, such as M&R, Tajima, Riley Hopkins, Epson, and more.,SAFETY IS QUALITY - From eco-friendly Phthalate Free Inks to sustainable manufacturing processes, we have been a leader in the responsible apparel decoration industry for years.]","This super nice t-shirt is made of 100% cotton (except for heathered colors like Sport Gray or Ash Gray, which may have up to 10% poly) and features double needle sleeves and hems, a seamless double needle 7/8 inch collar, and is PRESHRUNK. It has taped neck and shoulders, and the lay of the fabric has been quarter turned to eliminate the center crease. Certain styles also feature tearaway labels. This item is available in sizes SMALL through 3XL. It is a standard ADULT UNISEX CUT, which means it is not fitted. This is a very comfortable shirt and it should last you for years and years to come.",0,700.0
24430,Cultural Globalization and Music: African Artists in Transnational Networks,,,151,600.0
1861378,"Khadi Pure Lemon & Rose Orange Face Pack, 50 G (Pack of 2)","[Lemon & rose orange face pack,Skin type: all skin type,Target audience: unisex,Quantity: 100g (50g each jar),Package contents: 2 pieces face pack/face mask]",,10257,393.7
2043963,"Pillow / Cushion Cover Handmade Attractive Design Material Cotton , Pack of One (White, 24*24)","[1. Material Cotton,2. Size Available (16*16) (18*18) (20*20) (22*22) (24*24),3. Color White,4. Design Handmade,5. Closure Type Zip]","Handblock pillow cover made by talented artisan in the rajasthan.Handmade thing are very attractive and beautiful which is make enhances beauty of bedroom and sofa.You will be surprised at the transformation that changing a few cushio covers can make in a room. we bring to you attractive pillow cover in beautiful colors to decorate bedroom , sofa and living room.This handmade cusion cover is uniquely designed and carefully crafted for fashionable.",7256,1600.0
137629,Children's Literature & Social Studies: Selecting and Using Notable Books in the Classroom,,,1,725.0
1583499,Itoys 4 in 1 Magnetic Slate/Practice Board with Marker Pen/Magnetic Alphabets; Numbers & Symbols/Alphabetic Puzzle (Multicolor),"[Two sided board: Magnetic Slate on one side & write & wipe practice board on other side.,Comes with magnetic alphabets, numbers, symbols, chalk, duster & marker pen to keep child busy.,EN 71 certified: Safe for child,An ideal gift for pre-school children.,Suitable for age 3+ onwards]",,1048,433.0708657
93430,West and Other Plays,,,113,100.0
715619,Grün essen! NA: Die Gesundheitsrevolution auf Ihrem Teller,,,1,657.479
1500164,OBAGE DT-2425 70 Watt 2.0 Channel Wireless Bluetooth Tower Speaker (Black),,,2167,1175.0
325800,A Father as He Should Be: A Novel: 2,,,99,614.0
